date,division,store_id,product_category,sku_id,sku_name,basket_driver,cold_chain,sales_units
6/21/2025,1,2,Produce,SKU-BAN-001,Bananas Cavendish 1lb,TRUE,FALSE,42
6/21/2025,1,2,Produce,SKU-APP-001,Apples Gala 3lb,TRUE,FALSE,29
6/21/2025,1,2,Produce,SKU-APP-002,Apples Honeycrisp 2lb,FALSE,FALSE,10
6/21/2025,1,2,Produce,SKU-ORG-001,Oranges Navel 4lb,FALSE,FALSE,19
6/21/2025,1,2,Produce,SKU-LEF-001,Leafy Greens Spinach 10oz,FALSE,TRUE,25
6/21/2025,1,2,Produce,SKU-BER-001,Berries Strawberries 1lb,FALSE,TRUE,17
6/21/2025,1,2,Seasonal,SKU-WML-001,Watermelon Seedless Whole,FALSE,FALSE,5
6/21/2025,1,2,Seasonal,SKU-PUM-001,Pumpkin Carving Medium,FALSE,FALSE,4
6/21/2025,1,3,Produce,SKU-BAN-001,Bananas Cavendish 1lb,TRUE,FALSE,45
6/21/2025,1,3,Produce,SKU-APP-001,Apples Gala 3lb,TRUE,FALSE,19
6/21/2025,1,3,Produce,SKU-APP-002,Apples Honeycrisp 2lb,FALSE,FALSE,19
6/21/2025,1,3,Produce,SKU-ORG-001,Oranges Navel 4lb,FALSE,FALSE,11
6/21/2025,1,3,Produce,SKU-LEF-001,Leafy Greens Spinach 10oz,FALSE,TRUE,19
6/21/2025,1,3,Produce,SKU-BER-001,Berries Strawberries 1lb,FALSE,TRUE,22
6/21/2025,1,3,Seasonal,SKU-WML-001,Watermelon Seedless Whole,FALSE,FALSE,7
6/21/2025,1,3,Seasonal,SKU-PUM-001,Pumpkin Carving Medium,FALSE,FALSE,6
6/21/2025,1,6,Produce,SKU-BAN-001,Bananas Cavendish 1lb,TRUE,FALSE,29
6/21/2025,1,6,Produce,SKU-APP-001,Apples Gala 3lb,TRUE,FALSE,23
6/21/2025,1,6,Produce,SKU-APP-002,Apples Honeycrisp 2lb,FALSE,FALSE,19
6/21/2025,1,6,Produce,SKU-ORG-001,Oranges Navel 4lb,FALSE,FALSE,15
6/21/2025,1,6,Produce,SKU-LEF-001,Leafy Greens Spinach 10oz,FALSE,TRUE,24
6/21/2025,1,6,Produce,SKU-BER-001,Berries Strawberries 1lb,FALSE,TRUE,25
6/21/2025,1,6,Seasonal,SKU-WML-001,Watermelon Seedless Whole,FALSE,FALSE,3
6/21/2025,1,6,Seasonal,SKU-PUM-001,Pumpkin Carving Medium,FALSE,FALSE,3
6/21/2025,1,7,Produce,SKU-BAN-001,Bananas Cavendish 1lb,TRUE,FALSE,41
6/21/2025,1,7,Produce,SKU-APP-001,Apples Gala 3lb,TRUE,FALSE,29
6/21/2025,1,7,Produce,SKU-APP-002,Apples Honeycrisp 2lb,FALSE,FALSE,21
6/21/2025,1,7,Produce,SKU-ORG-001,Oranges Navel 4lb,FALSE,FALSE,12
6/21/2025,1,7,Produce,SKU-LEF-001,Leafy Greens Spinach 10oz,FALSE,TRUE,24
6/21/2025,1,7,Produce,SKU-BER-001,Berries Strawberries 1lb,FALSE,TRUE,26
6/21/2025,1,7,Seasonal,SKU-WML-001,Watermelon Seedless Whole,FALSE,FALSE,3
6/21/2025,1,7,Seasonal,SKU-PUM-001,Pumpkin Carving Medium,FALSE,FALSE,2
6/21/2025,1,8,Produce,SKU-BAN-001,Bananas Cavendish 1lb,TRUE,FALSE,45
6/21/2025,1,8,Produce,SKU-APP-001,Apples Gala 3lb,TRUE,FALSE,21
6/21/2025,1,8,Produce,SKU-APP-002,Apples Honeycrisp 2lb,FALSE,FALSE,18
6/21/2025,1,8,Produce,SKU-ORG-001,Oranges Navel 4lb,FALSE,FALSE,10
6/21/2025,1,8,Produce,SKU-LEF-001,Leafy Greens Spinach 10oz,FALSE,TRUE,24
6/21/2025,1,8,Produce,SKU-BER-001,Berries Strawberries 1lb,FALSE,TRUE,28
6/21/2025,1,8,Seasonal,SKU-WML-001,Watermelon Seedless Whole,FALSE,FALSE,6
6/21/2025,1,8,Seasonal,SKU-PUM-001,Pumpkin Carving Medium,FALSE,FALSE,4
6/21/2025,1,9,Produce,SKU-BAN-001,Bananas Cavendish 1lb,TRUE,FALSE,45
6/21/2025,1,9,Produce,SKU-APP-001,Apples Gala 3lb,TRUE,FALSE,20
6/21/2025,1,9,Produce,SKU-APP-002,Apples Honeycrisp 2lb,FALSE,FALSE,13
6/21/2025,1,9,Produce,SKU-ORG-001,Oranges Navel 4lb,FALSE,FALSE,21
6/21/2025,1,9,Produce,SKU-LEF-001,Leafy Greens Spinach 10oz,FALSE,TRUE,16
6/21/2025,1,9,Produce,SKU-BER-001,Berries Strawberries 1lb,FALSE,TRUE,19
6/21/2025,1,9,Seasonal,SKU-WML-001,Watermelon Seedless Whole,FALSE,FALSE,3
6/21/2025,1,9,Seasonal,SKU-PUM-001,Pumpkin Carving Medium,FALSE,FALSE,3
