division,store_id,date,sku_id,sku_name,reason_level_1,reason_level_2
1,23,6/24/2025,SKU-BAN-001,Bananas Cavendish 1lb,Supply Chain,Supplier Delay
1,28,6/24/2025,SKU-BAN-001,Bananas Cavendish 1lb,Supply Chain,Supplier Delay
1,29,6/24/2025,SKU-BAN-001,Bananas Cavendish 1lb,Supply Chain,Supplier Delay
1,38,6/24/2025,SKU-BAN-001,Bananas Cavendish 1lb,Supply Chain,Supplier Delay
1,41,6/24/2025,SKU-BAN-001,Bananas Cavendish 1lb,Supply Chain,Supplier Delay
1,43,6/24/2025,SKU-BAN-001,Bananas Cavendish 1lb,Supply Chain,Supplier Delay
1,45,6/24/2025,SKU-BAN-001,Bananas Cavendish 1lb,Supply Chain,Supplier Delay
1,48,6/24/2025,SKU-BAN-001,Bananas Cavendish 1lb,Supply Chain,Supplier Delay
1,3,6/25/2025,SKU-BAN-001,Bananas Cavendish 1lb,Supply Chain,Supplier Delay
1,7,6/25/2025,SKU-BAN-001,Bananas Cavendish 1lb,Supply Chain,Supplier Delay
1,8,6/25/2025,SKU-BAN-001,Bananas Cavendish 1lb,Supply Chain,Supplier Delay
1,16,6/25/2025,SKU-BAN-001,Bananas Cavendish 1lb,Supply Chain,Supplier Delay
1,18,6/25/2025,SKU-BAN-001,Bananas Cavendish 1lb,Supply Chain,Supplier Delay
1,21,6/25/2025,SKU-BAN-001,Bananas Cavendish 1lb,Supply Chain,Supplier Delay
1,23,6/25/2025,SKU-BAN-001,Bananas Cavendish 1lb,Supply Chain,Supplier Delay
1,28,6/25/2025,SKU-BAN-001,Bananas Cavendish 1lb,Supply Chain,Supplier Delay
1,29,6/25/2025,SKU-BAN-001,Bananas Cavendish 1lb,Supply Chain,Supplier Delay
1,31,6/25/2025,SKU-BAN-001,Bananas Cavendish 1lb,Supply Chain,Supplier Delay
1,33,6/25/2025,SKU-BAN-001,Bananas Cavendish 1lb,Supply Chain,Supplier Delay
1,35,6/25/2025,SKU-BAN-001,Bananas Cavendish 1lb,Supply Chain,Supplier Delay
1,37,6/25/2025,SKU-BAN-001,Bananas Cavendish 1lb,Supply Chain,Supplier Delay
1,38,6/25/2025,SKU-BAN-001,Bananas Cavendish 1lb,Supply Chain,Supplier Delay
1,41,6/25/2025,SKU-BAN-001,Bananas Cavendish 1lb,Supply Chain,Supplier Delay
1,43,6/25/2025,SKU-BAN-001,Bananas Cavendish 1lb,Supply Chain,Supplier Delay
1,45,6/25/2025,SKU-BAN-001,Bananas Cavendish 1lb,Supply Chain,Supplier Delay
1,47,6/25/2025,SKU-BAN-001,Bananas Cavendish 1lb,Supply Chain,Supplier Delay
1,48,6/25/2025,SKU-BAN-001,Bananas Cavendish 1lb,Supply Chain,Supplier Delay
1,50,6/25/2025,SKU-BAN-001,Bananas Cavendish 1lb,Supply Chain,Supplier Delay
1,2,6/26/2025,SKU-BAN-001,Bananas Cavendish 1lb,Supply Chain,Supplier Delay
1,3,6/26/2025,SKU-BAN-001,Bananas Cavendish 1lb,Supply Chain,Supplier Delay
1,6,6/26/2025,SKU-BAN-001,Bananas Cavendish 1lb,Supply Chain,Supplier Delay
1,7,6/26/2025,SKU-BAN-001,Bananas Cavendish 1lb,Supply Chain,Supplier Delay
1,8,6/26/2025,SKU-BAN-001,Bananas Cavendish 1lb,Supply Chain,Supplier Delay
1,9,6/26/2025,SKU-BAN-001,Bananas Cavendish 1lb,Supply Chain,Supplier Delay
1,14,6/26/2025,SKU-BAN-001,Bananas Cavendish 1lb,Supply Chain,Supplier Delay
1,15,6/26/2025,SKU-BAN-001,Bananas Cavendish 1lb,Supply Chain,Supplier Delay
1,16,6/26/2025,SKU-BAN-001,Bananas Cavendish 1lb,Supply Chain,Supplier Delay
1,18,6/26/2025,SKU-BAN-001,Bananas Cavendish 1lb,Supply Chain,Supplier Delay
1,21,6/26/2025,SKU-BAN-001,Bananas Cavendish 1lb,Supply Chain,Supplier Delay
1,23,6/26/2025,SKU-BAN-001,Bananas Cavendish 1lb,Supply Chain,Supplier Delay
1,28,6/26/2025,SKU-BAN-001,Bananas Cavendish 1lb,Supply Chain,Supplier Delay
1,29,6/26/2025,SKU-BAN-001,Bananas Cavendish 1lb,Supply Chain,Supplier Delay
1,31,6/26/2025,SKU-BAN-001,Bananas Cavendish 1lb,Supply Chain,Supplier Delay
1,33,6/26/2025,SKU-BAN-001,Bananas Cavendish 1lb,Supply Chain,Supplier Delay
1,35,6/26/2025,SKU-BAN-001,Bananas Cavendish 1lb,Supply Chain,Supplier Delay
1,37,6/26/2025,SKU-BAN-001,Bananas Cavendish 1lb,Supply Chain,Supplier Delay
1,38,6/26/2025,SKU-BAN-001,Bananas Cavendish 1lb,Supply Chain,Supplier Delay
1,41,6/26/2025,SKU-BAN-001,Bananas Cavendish 1lb,Supply Chain,Supplier Delay
1,43,6/26/2025,SKU-BAN-001,Bananas Cavendish 1lb,Supply Chain,Supplier Delay
1,45,6/26/2025,SKU-BAN-001,Bananas Cavendish 1lb,Supply Chain,Supplier Delay
1,47,6/26/2025,SKU-BAN-001,Bananas Cavendish 1lb,Supply Chain,Supplier Delay
1,48,6/26/2025,SKU-BAN-001,Bananas Cavendish 1lb,Supply Chain,Supplier Delay
1,50,6/26/2025,SKU-BAN-001,Bananas Cavendish 1lb,Supply Chain,Supplier Delay
1,2,6/27/2025,SKU-BAN-001,Bananas Cavendish 1lb,Supply Chain,Supplier Delay
1,3,6/27/2025,SKU-BAN-001,Bananas Cavendish 1lb,Supply Chain,Supplier Delay
1,6,6/27/2025,SKU-BAN-001,Bananas Cavendish 1lb,Supply Chain,Supplier Delay
1,7,6/27/2025,SKU-BAN-001,Bananas Cavendish 1lb,Supply Chain,Supplier Delay
1,8,6/27/2025,SKU-BAN-001,Bananas Cavendish 1lb,Supply Chain,Supplier Delay
1,9,6/27/2025,SKU-BAN-001,Bananas Cavendish 1lb,Supply Chain,Supplier Delay
1,14,6/27/2025,SKU-BAN-001,Bananas Cavendish 1lb,Supply Chain,Supplier Delay
1,15,6/27/2025,SKU-BAN-001,Bananas Cavendish 1lb,Supply Chain,Supplier Delay
1,16,6/27/2025,SKU-BAN-001,Bananas Cavendish 1lb,Supply Chain,Supplier Delay
1,18,6/27/2025,SKU-BAN-001,Bananas Cavendish 1lb,Supply Chain,Supplier Delay
1,21,6/27/2025,SKU-BAN-001,Bananas Cavendish 1lb,Supply Chain,Supplier Delay
1,23,6/27/2025,SKU-BAN-001,Bananas Cavendish 1lb,Supply Chain,Supplier Delay
1,28,6/27/2025,SKU-BAN-001,Bananas Cavendish 1lb,Supply Chain,Supplier Delay
1,29,6/27/2025,SKU-BAN-001,Bananas Cavendish 1lb,Supply Chain,Supplier Delay
1,31,6/27/2025,SKU-BAN-001,Bananas Cavendish 1lb,Supply Chain,Supplier Delay
1,33,6/27/2025,SKU-BAN-001,Bananas Cavendish 1lb,Supply Chain,Supplier Delay
1,35,6/27/2025,SKU-BAN-001,Bananas Cavendish 1lb,Supply Chain,Supplier Delay
1,37,6/27/2025,SKU-BAN-001,Bananas Cavendish 1lb,Supply Chain,Supplier Delay
1,38,6/27/2025,SKU-BAN-001,Bananas Cavendish 1lb,Supply Chain,Supplier Delay
1,38,6/27/2025,SKU-APP-001,Apples Gala 3lb,Supply Chain,DC Out of Stock
1,41,6/27/2025,SKU-BAN-001,Bananas Cavendish 1lb,Supply Chain,Supplier Delay
1,43,6/27/2025,SKU-BAN-001,Bananas Cavendish 1lb,Supply Chain,Supplier Delay
1,45,6/27/2025,SKU-BAN-001,Bananas Cavendish 1lb,Supply Chain,Supplier Delay
1,47,6/27/2025,SKU-BAN-001,Bananas Cavendish 1lb,Supply Chain,Supplier Delay
1,47,6/27/2025,SKU-APP-001,Apples Gala 3lb,Supply Chain,DC Out of Stock
1,48,6/27/2025,SKU-BAN-001,Bananas Cavendish 1lb,Supply Chain,Supplier Delay
1,48,6/27/2025,SKU-APP-001,Apples Gala 3lb,Supply Chain,DC Out of Stock
1,50,6/27/2025,SKU-BAN-001,Bananas Cavendish 1lb,Supply Chain,Supplier Delay
1,2,6/28/2025,SKU-APP-001,Apples Gala 3lb,Supply Chain,DC Out of Stock
